Task,Model,Model size (params),Dataset,Type,Input dimension (H×W×C),Max dim activation (H×W×C),Used with kernel,Max dim conv kernel (K×K×Cin×Cout),Used with activation,Max dim transformer W matrix,Used with activation,Notes
Object detection,YOLOv7,36.9M,COCO 2017,CNN,640×640×3,640×640×32,3×3×32×64,3×3×1024×1024,20×20×1024,-,-,
Image Classification,ResNet34,21.8M,ImageNet1K,CNN,224×224×3,56×56×64,3×3×64×64,3×3×512×512,7×7×512,-,-,
Semantic Segmentation,PIDNet-S,7.6M,Cityscapes,CNN,2048×1024×3,1024×512×32,3×3×32×32,3×3×256×256,32×32×256,-,-,
Object detection,RTMDet-l,52.3M,COCO 2017,CNN,640×640×3,320×320×32,3×3×32×32,3×3×1024×512,20×20×1024,-,-,"There are smaller versions of this model but the source code is not available and I cannot determine the structure of it. Fortunatelly, the large variant has a nice diagram with all tensor shapes that was used to fill the table."
Object detection,YOLOv8-n,3.2M,COCO 2017,CNN,640×640×3,320×320×16,3×3×16×16,3×3×256×256,20×20×256,-,-,Large models have a multiplication factor on the number of channels of kernels / activations
Intance segmentation,FastInst-D1,30M,COCO 2017,Transformer Neck / CNN backbone,576×576×3,144×144×256,1×1×256×64,3×3×512×512,18×18×512,256×1024 and 1024×256,144×256 and 144×1024,"The backbone is a ResNet50-DCN, the largeset activation comes from this."
Image Classification / backbone,UniForm,(t): 1.8M -  (s): 2.4 - (m): 5.6M - (l): 10M ,ImageNet1K,Transformer + Depth-wise conv,224×224×3,14×14×C,DWConv: ?×?×1× / Linear: C×4C,?×?×1×C_max,3×3×C_max,C_max×4C_max and 4C_max×C_max  ,9×C_max and 9×4C_max,"C = [(t):64, (s,m):128, (l):192], C_max = [(t, s):192, (m):320, (l):384]. There is the possibility that the spatial dimensions are not correct but in case the error would be small"
Object detection,YOLOv11-n,2.6M,COCO 2017,CNN,640×640×3,320×320×16,3×3×16×32,3×3×128×256,40×40×128,-,-,
Object detection,YOLOv11-s,9.4M,COCO 2017,CNN,640×640×3,320×320×32,3×3×32×64,3×3×256×512,40×40×256,-,-,
Object detection,YOLOv11-m,20.1M,COCO 2017,CNN,640×640×3,320×320×64,3×3×64×128,3×3×512×512,80×80×512,-,-,
Object detection,YOLOv11-l,25.3M,COCO 2017,CNN,640×640×3,320×320×64,3×3×64×128,3×3×512×512,80×80×512,-,-,
Object detection,YOLOv11-x,56.9M,COCO 2017,CNN,640×640×3,320×320×96,3×3×96×192,3×3×768×768,80×80×768,-,-,
Image-Text encoding,MobileCLIP-S0,11.4M + 42.4M (image + text),DataCompDR,CNN (w attention) + Transformer,256×256×3,(image_encoder) 128×128×64,3×3×64×128 (DWConv),(text encoder) 2048×512×1×1 and 512×2048×1×1 (image_encoder) 512×1536×1×1 and 1536×512×1×1,(text encoder) 2048×1×text_tokens and 512×1×text_tokens (image_encoder) 512×8×8 and 1536×8×8,(text_encoder) 2048×512 and 512×2048,text_tokens × 2048 and text_tokens × 512,Note that the text embedding matrix is the largest (49408×512) but considering that is not used in a mult op we exclude it. The activation size for the text encoder depends on text_tokens which is not fixed and determined by the user at inference.
Image-Text encoding,MobileCLIP-B,86.3M + 63.4M (image + text),DataCompDR,Transformer,256×256×3,56×56×192,2×2×192×192,2×2×192×768,28×28×192,3072×512 and 512×3072,197×3072 and 197×512,"The text encoder has the same dimensions as the S0 variant (the parameter difference comes from the addition of a few blocks), here we include figures just for the image encoder. The image encoder in this variant is a ViT therefore the convs are used only in the patchyfier."
,,,,,,,,,,,,
,,,,,,,,,,,,
"Note: I cannot guarantee at 100% that the values are correct, there might be some slightly larger tensors that I didn't notice caused by the extreme complexity of the architectures. Also not that this values are representative of a batch size of 1, that is usual for real-time inference. A larger batch size would add another dimension to all the activations.",,,,,,"Note: CNNs nowadays mainly use depth-separable convolutions (that are quite memoby-bound compared to classic convolutions). The biggest kernels we can find are from ConvNeXt V2 Huge that has shape 7×7×1×2816, but this is a super heavy model, likely not representing our use-case.  ",,,,"Note: 1024 hidden dimension is probably a good upper limit for all transformer-based vision models, very few are using more than this (ViT-H has 1280 and ConvNeXt V2-H has 2816 for example, but they are massive models). This translate to a max weight matrix of 4096×1024 that multiplies with activation of size N×4096, where N is the number of token and it depends on patch size of the model and input image size. For reference, In the example above we have hidden dim of 256 which is reasonable for small models.",,
